"id","faculty_id","start_year","title"
"-76484","13343","2016","УТС21"
"335137","13343","2015","УТС31"
"128545","13343","2014","УТС41"
"491041","13343","2016","УЭЛ41"
"335649","13343","2015","УЭМ31"
"129057","13343","2014","УЭМ41"
"629281","13343","2017","УЭМп11"
"-144580","13343","2016","УЭМп21"
"484129","-202208","2016","ЭА41"
"588577","-202208","2017","ЭАп11"
"-109252","-202208","2016","ЭАп21"
"298529","-202208","2015","ЭАп31"
"-145092","-202208","2016","ЭИБТ21"
"611617","-202208","2017","ЭЛ12"
"611873","-202208","2017","ЭЛ13"
"-103108","-202208","2016","ЭЛ21"
"-92612","-202208","2016","ЭЛ23"
"352033","-202208","2015","ЭЛ32"
"352289","-202208","2015","ЭЛ33"
"187937","-202208","2014","ЭЛ41"
"188193","-202208","2014","ЭЛ42"
"588833","-202208","2017","ЭМФ11"
"482849","-202208","2016","ЭТБ41"
"192801","-202208","2014","ЭТМ41"
"639009","-202208","2017","ЭТМп11"
"-115396","-202208","2016","ЭТМп21"
"-87492","-202208","2016","ЭХ21"
"610337","-200672","2017","ЮЮ11"
"630817","-200672","2017","ЮЮ12"
"578593","-200672","2017","ЮЮ13"
"578337","-200672","2017","ЮЮ14"
"-87236","-200672","2016","ЮЮ21"
"-110276","-200672","2016","ЮЮ22"
"-112836","-200672","2016","ЮЮ23"
"517409","-200672","2016","ЮЮ24"
"178209","-200672","2014","ЮЮ44"
